事件一年内频率,事件历史悠久程度,开始日期,是否会议,是否体育赛事,是否天气,是否展会,是否影响商务人群,是否影响社会大众,是否是否是国内民间协会,是否是国内行业协会,是否是国家政府,是否是国际性组织,是否是国际民间协会,是否是国际行业协会,是否是地方级政府,是否是省政府,是否有固定的参与人群,是否演唱会,标题,结束日期
1,1,2017/07/22,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017国际冠军杯中国赛深圳站,2017/07/22
1,1,2017/07/07,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2017年世界女排大奖赛（中国·昆山站）,2017/07/07
